Dikiri,Song of praise(religious ritual)
Diritoore ya skoola,Headmaster
Dokhani,Fool
Doroogo,Drug
Du'a,Petition/prayer
Dudumaayi,Chickenpox
Duka,Shop
Dul'eda,Fox
Dulli,Humiliation
Dulmu,Injustice
Dumna,Domino
Duniya,World
Duwaara,Kite
Duwaara,Kate
Duwla,Funnel
Ebu,Shame
Eeti,Allegation
Embe,Mango
Endha,go
Faali,Foretelling
Faasha,Bandage
Faataha,The first Sura of Kuran
Faayda,Benefit/Profit
Fahamu,Understanding
Fahamu,Consciousness
Fakata,run
Fakhari,show off
Fakhri,Poverty
Falaki,astronomy
Faraji,Relief
Faranchideeri,Fridge
Faransiyoone,Clutch
Farasi,Horse
Fargeete,offended
Farhaani,Happy
Fariina,Brake
Farkeeta,Fork
Farmaajo,Cheese
Farmachiya,Pharmacy
Fasaleeta,Handkerchief
Fasali,Harvest
Fashiri,Scandal/Disgrace
Fasiiha,Clear
Fasiqa,Divorce
Fasiri,Explanation/translation
Fatuura,Car
Fatwa,The judgment of Islamic scholars
Fawda,The state of disorder
Fetha,Silver
Fidiya,Ransom
Fiija,Cooking stove
Fiilo,Wire
Fiilo ya koranta,Cable
Fijiri,Morning/before dawn
Fikira,Think
Fikiri,Thought
"Fini, hulawo usooni",Pimple
Finiini,Split or break into slender pieces
Finika,cover
Fiqi,Islamic law scholar
Fir'ooni,Pharaoh
Fisqi,Wrongdoing
Fitina,Discory
Fitisha/meera,Search
Fiyoore,Flower
Fooji,Whistle
Foorji,Ridicule/Teasing
Foorno,Bakery
Fuduuli,Insult
Fula,wash
Fulaana,Pullover
Fulisha,Fulfil
Furaha,Happiness
Furda,Port/Harbor
Furdha,Harbour
Fuufila,Spray
Fuumbi,Toilet
Fuundi,Craftsman
fuungula,open
Gaari,A wheeled vehicle
Gaasi,Brave
Gaastirika,Gastritis
Gaguna,Scratch
Galtu,Uncivilized
Gambuusa,Stringed musical instrument
Ganaaha,Fine
Ganjeela,Gate
Garaacha,Garage
Garabu,Shoulder
Garavaata,Necktie
Garbaashi,Whip
Gardi,Marching
Garfa,Cinnamon stick
Gawaadi,Pander/Pimp
Gellle,Maize
Gereesi,Woman's garment
Ghaali,expensive
Gharaama,Expense
Ghasiya,Disturbance
Giita,Drag
Giitila,Carry on
Giriiki,Jack
Gisi(Ngoombe Gisi),Buffalo
Godoro,Mattress
Goofu,Ruin
Gooma,Rubber
Goona,Skirt
Gorgora,Petticoat
Gorgorisha,bargaining
Goroowu,Divorsed women
Goryaani,Roundworm/Ascaris
Gudi,Committee
Guule,Fender
Guule aanoole,Thunder
Haafa,Neighborhood
Haaji,A man who has made a pilgrimage to mecca
Haali,Condition/Situation
Haamila,Pregnant
Haanzu,women's dress
Haasidi,Cruel/unkind
Habaasa,Jail
Habba,Few
Habba,Few
Hadiya,Gift
Hafiisa,Office
Hafla,Celebration
Hajiimu,Caterpillar
Hajiya,A women who has made a pilgrimage to mecca
Hakhi,Rights
Hakhiikhisha,confirm
Halaali,Lawful
Halaalisha,Legalize
Halwa,"Sweets made from sugar,cornstarch and ghee"
Hamaali,Porter
Hamasho,whisper
Hammu,Yearing/desire
Hamuumu,Feeling
Handaasa,Lecherous
Haqi,Right/justice
Haqiiqa,Truth/reality/Certainty
Haqiiqisha,Make sure
Haraamu,Forbidden
Haraarisi,Bitter
Haraashi,Cut Rate
Harfu,A letter(alphabet)
Hargabu,Influenza
Hariiri,Silk
Harri,Heat
Haruusi,Wedding
Hashaashi,Elegant
Hashiisha,Marijuana
Hawa,Air
Hawa,Weather/Climate
Hawaaji,Curry powder
Hawaala,Transfer
Haweesa,Milk container used by the nomadic people
Hay'a,Agency
Hayaati,Life
Hayawaani,Animal
Heero,Bowl or large dish used for serving food
Hena,Henna
Heshma,Honour/respect
Hewesi,Chest
Hiila,Trick/technique
Hiinzizi,Root/veins
Hiira,Bald head
Hijaabu,Headscarf
Hijaabu,Veil
Hijja,Pilgrimage
Hikma,Wisdom/good judgment
Hilki,Cardamon
Hiloowu,Longing
Himma,Ambition
Hiqdi,Hate/Hatred
Hirzi,Charm/amulet
Hizbu,Party/political organization
Hodaari,Active/capable
Hoja,Puzzle
Hoodi,may i come in ?
Hoonde,Seeds
Hoosi,Shadow
Hori,Free
Horiya,Independence
Hutosha,enough
Huumbo,Foam
Huundhu,Red
Huzni,sad
I'itikaafu,spending time inside a mosque for worshipping
I'tiraafu,recognize
Ibaada,Worship
Ibanyaani,Outside
Ibeebe,"Bonfire, Flames"
Ibiriikhi,Teapot/kettle
Ibirka,pool/pond
Ibitta,Duck
Ibliisi,Devil
Iboholi,Hole
Ibtila/msiiba,Disaster
Iburuuda,Hip
Ibuuli,Jug
Ibuuri,Hill
Ichiwa,If
Idda,Wife's period of mourning
Idurah,"Fan, Wind Mill, Propellor"
Ifiriiti,Monster
Ifuga,Gay
Ifumo,Spear
Igaandha,"Fruit skin, Peel"
Igasiya,Oar
Iggema,Welcome
Igome/Ijabali,Rock
Igoole,shell
Igoonjo,knee
Igoyi,Molar
Igugu,Egg shell
Iguma,Bruise
Ihoowa,Ringworm
Ihsaani,favor
Ihtiraamu,Respect
Iidi,Muslim festival
Ija-nvula,Rainbow
Ijaambi,Plaited mat
Ijaara,Rent
Ijambaazi,A ruffian
Ijaraha,Wound
Ijarfa,Net
Ijiniile,Crazy
Ijinyiile,Mischievous
Ijiwe,Stone
Ijuuniya,Sack
Ikharba,Leaf
Ikhwaani,Brother-in-Islaam
Ikodho,Gull
Ikoli,Nickname
Ikoofiya,Hat
Ikoongonye,Elbow
Ikoora,Tin coated iron can
Ikumi,Ten
Ilaanzi,Branch (Of a tree)
Ilbahi,Civilized
Ilbahi,civilized
Illu,Above
Ilmu,Knowledge
Ilolo ilusi,Black seed
Ilooni,Evening
Iluuma,Head injury
Iluungo,Back
Imaamu,The prayer leader in a mosque
Imaani,"Faith , Moral"
Imba,Sing
Imtihaani,Examination
imulo,hot
Ina,Name
Inaiwikano,Famous
Inama,stoop
khabari za mazaydi,Information
Ingaadi,Spelling
Ingila,come in
Ingiza,Put in
Injigneeri,Engineer
Inkaari,Curse
Inkira,Deny
Inwaani,Address
Inyala,Nail
Inyi,Liver
Ipaaku,parcel
Ipala,Thatch
Ipapaayu,Papaya
Ipepo,Wind
Ipi,a pat
Ippu,"Jeep,abcess"
Iqaabu,Punishment
Iriiri,Narrowness
Irmaani,Secreting milk
Ishaka,Tree
Ishaka ya iwuuyu,baoba tree
Ishaka ya Riihaani,Aromatic plant
Isheetara,Umbrella
Ishina,The far end of smthng. (Part. textiles)
Ishkilo,Ear
Ishoga,Chador/ Veil
Ishuzi,Fart
Islaamu,Muslim
Ismaris,sandwich
Issa,Now
Istereha,Relax/enjoy
Istiqfaara,Prayer of forgiveness
Itaando,Insult word
Itaaya,Cheek
Iteke,Kick
Itete,Drop
Itiki,Watermelon
Ito,Eye
Ittama,"Mouthfull of liquids (Water, milk, etc)"
Ittonge,"Food, Mouth-full of food"
Ittuungu,Hernia
It´ako,Buttock
Ivu,Ash
Ivuule,Grey
Ivuumbi,Dust
Ivuyu,Spider
iwa´,know
Iwwa,Sun
Iyaankuku,Egg
Iyeembe,Hoe
Izaalo,Embryo
Iziwa,Milk
Jaahili,Ignorant
Jaajuusi,Spy
Jaama'a,University
jaariba,try
Jadwali,Schedule
Jahazi,Vessel
Jalaada,Book cover
Jalaata,Ice cream
Janaastika,Gymnastics
Janaaza,Coffin
Janna,Heaven
Jardiina,Garden
Jawaabu,Answer
Jaziira,Island
Jeeri,Hippopotamus
Jegaani,Barber
Jereere,Tight-curled hair
Jeza,Gratitude
Jezaari,Ingratitude
Jiha,Direction
Jiha,sense
Jihaadi,Muslim holy war
Jihawareeri,Disorientation
Jilaali,Winter
Jimlisha,Add up
Jimma,Friday
Jimmaane,Tuesday
Jimmapiili,Sunday
Jimmataatu,Monday
Jinni,Ghost
Jiraani,Neighbour
Jisaayi,How
Joodari,Tuna fish
Joogi,Size
Joogi,Pair
Joozi,Nutmeg
Jornaale,Newspaper
Jouri,Outrage
Juha,Mentally handicapped person
Juhudi,Zeal
Jumla,Wholesale
Juudaani,Leprosy
Juzzu,One of the thirty main division of Kor'an
Ka khasti,intentionaly
Ka'si,Sexual urge
kaa kamu,how much
Kaabati,Cupboard
Kaafisha,Condone
Kaala,Sow seeds
Kaama,Suck
Kaambele,temporary
Kaambo,Step
Kaamili,Complete
Kaamina,Believe
Kaamusa,Breast-feeding
Kaandha,"First,"
kaandika,writing
Kaari,Card
Kaasha,Suit case
Kaasiyeeri,Cashier
Kaawanya,distribute
Kaawula,Peel off
Kaazi,Work
kaazima,lend
Kabaliyeeri,Waiter
Kabeebe,Traditional folks dance
Kabila,Plus
Kabila,Add
Kabissa,Absolutely
kabooti,Overcoat
Kadaloobu,Squat
Kadiido,Fever
Kafaala,Sponsorship
Kafani,Shroud
Kahawa,Coffe
Kahima,"Fast, hurry up"
Kahimma,Urgency
Kakhisani,Why
Kalaanga,Fry
Kalaanta,Sit down
Kalamiita,Magnet
Kalifu,Compel
Kaloora,colour
Kampanyeela,Bell
Kampiyaale,Mortgage
Kampiyoone,Specimen
Kanaanttupu,Naked
Kaniisa,Church
Kanna,Mouth
Kanumake,Afterwards
Kanzi,Treasure
Kapsola,Capsule
Karaama,Gracious gift
Karaani,Clerk
Karaileh,Crow
Karata,Playing cards
Karavata,Tie
Kashawiita,Screwdriver
Katarbila,Tractor
Kathi naa kathi,Between
Kati,Centre
Katikati,Average
Kazkaazi,"North wind, hot season"
Keeluka,"Float, Swim"
Keendha,To Go
Keendha Maayo,Yawning
Keesho,Tomorrow
Khaa'ini,Deceiver
Khaaja,Uncle
khabari,News
Khabiiri,Expert
Khabiithi,Cruelty
Khada'a,Cheat
Khadiimu,Old(thing)
khafiifu,light
Khainni,Traitor
Khalamu,Pen
Khalamu yaa Mate,Pencil
Khamaari,Gamble
Khamarji,Gambler
Khamiiri,Yeast
Khamri,Wine
Khanziiri,Pork
Kharanfuuri,Cloves
Kharibila,Approach
Khasaara,lose/Disadvantage
Khasbu/waajibu,Obligation
Khasheeda,Shawl
Khasiida,Carol
khasnaji,treasurer
Khatari,Danger
Khatti,Letter
Khawaafu,Bankruptcy
Khawaawa,Pan
Khayri,Good thing/prosperity
Khcheleloowa,To be late
Khfanya tayaari,prepare
khfarisha,expect
Khfula,Washing
Khfutura,The food eaten after sunset in the month of Ramadan
Khfuunga,Close
Khfuura,Swell/ swollen
Khibla,Direction of prayer
Khibra,Experience
Khidma,Service
Khiima,Value
Khiira,Admit
Khiira,Accept
Khiira,Agree
Khilaafu,conflict
Khimisha,Assess
Khipita moaka,Extreme
Khiyaama,Day of Judgement
Khiyaana,Deciet
Khiyaari,Choice/free will
Khkahata,hate
Khkama,milking
Khkasa,(to) Listen
Khkashifa,Disclose
khkolola,coughing
khkoomba,to leak
Khoori,Lagoon/ Estuary/ Creek
Khoori,Canal
Khpaangula,Delete
Khpakula,Serve food
khpala,Padlock
Khpata,Finding
khpeteka,Tickle
Khpika,Cook
khpita,pass
Khpokela,Receiving
khpola,recover
khpotela,fail
Khpotoka,Crooked
Khsaala,Remaining
Khshiika,Catch
Khshiindha,Win
Khshikamana,Cleave together
Khshindhamana,Challenge
Khshumula,Sneezing
Khshumula,Sneeze
Khshuwata,Diarea
Khsooma,To read
Khsuuhata,Epilepsy
Khtaambala,Creep
Khtaawanya,Spilling
Khtaawanya shahawa,ejaculation
Khtegemela,Rely
Khteka,Laughing
Khterega,un-safe behaviour
Khtersha,The act of governing
Khtetela,Stammer
Khthafuna,Chewing
Khthumika,Serving
Khtiia',Obey
Khtiinda Jeega,Haircut
Khtina,Circumcise
Khtiya,Afraid
Khtomola shaka,Assure
khtongoleza,talebearing
khtoonga,Teasing
Khtosha,Think
Khtufa matte,To spit
Khtuundhika,Hang
Khtuungila,Peep
Khubba,Dome
Khudaari,Vegetable
Khudba,Lecture
Khufu,Socks
Khufu ya mkono,Gloves
Khunsuli,Consul
Khuntha,Bisexual organism
Khur'aani,Koran
Khuraafaati,Myth
Khussa,Concern
Kibri,Arrogant
Kiimba,Sing
Kiineendha,Walking
kiineenza,driving
Kiiwana,To know each other
Kilaa mara,Always
killa ayaamu,weekly
Killaa Mahala,Everywhere
Killaa Muunti,Everyday
Killaa Muuntu,Everyboby
Killaa Waqti,Every time
Kilma,Word
Kiniini,Tablets
Kintaali,A sack holding 100kg
kirkiri,Rhino
Kistanja,washing after urination before praying
Kiyaawe,Spanner
Koncheerto,Concert
Kontoraato,contract
Koola,Glue
koomba,lick
Kootha,speak
Koothi,Talks
Kooti,Coat
Koowa,Bath
Koowela,Swimming
Koranta,Electricity
Kormeeri,Supervisor
Korneelo,Colonel
Korsha,"Up-bring, Breed"
Ku ayida,Corroboration
Ku duguwa,Hobble(walk with difficulty
Ku guruma,Roar
Ku hadda,to say
Ku junuba,Eject semen while sleeping
Kubadila,Change
Kubadilana,Exchange
Kubiga neefu,Gasp for breath
Kubiga Seega,masturbate
Kuboola,to steal
Kuburisha,chase
kudalbata,to apply
Kudifaa'a,defend
kufa,to die
Kugiita,(to)Pull
kuguruma,murmer
Kuja,Food
kujeera,shy
Kula,Cry
Kulapa,Swear
kule,far
Kuleela,Loose
Kuleesanya,Converge
Kuleeta,Collar
Kulipa,Repaying
kulisa aari,retaliate
Kuliwala,Forgeting
Kuloomba,Beg
Kuloomba raadi,apologize
kuluma,bite
Kumiza,Swallow
Kumraasha,Accompany
Kumsawa,Cajole
Kumtiisha,Intimidate
kumviila,Call
Kuna,Drink
kunala,to urinate
Kuncherto,Play
Kunna,drinking
Kunuunka,Smell
Kupeerto,Blanket
Kurba,Worry/uneasines/anxiety
Kurudikisha numa,pospone
Kuruudila,Repeat
Kuskutiza,Rinse
Kuta,Grind something into powder or liquid
Kuule,Hedgehog
Kuulu,Leg
Kuulu ya Gaari,Tyre
Kuuluka,Flying
Kuumbuka,remember
Kuumisha,Drying
Kuuya,To Come
Kuvuunda,Demolish
Kuvuundika Niya,Demoralize
Kuwaangula,Hatch (Eggs)
Kuwaka,to build
Kuwala,"Shining, Bright"
Kuwalisha,Polish
Kuwalizza,Tighten
kuwanayo ta'liimu,educated
Kuwasila,Arrive
Kuwiinda,Hunt
Kuwola,Dry Rot
Kuyasa,underestimation
Kuzaama,Sink
Kuzaamisha,Capsize
Kuziika,bury
Kuzimila,escape
Kuzimu,Sky
kuzuuba,recording
La'na,damn
laakine,but
Laakuja,Sunset
Laala,sleep
Laaluushi,Bribe
Laame,asphalt
Laano,Tale
Laastika,Elastic
Laatulo,evening prayer
Laazima,necessary
Labisa,Dress
Ladaayi,locust
Ladda,sweet
Lahja,Dialect
Lakhdawa,deceit
Laki,"100,000"
Lalamika,Cry for mercy
Lamiyeeri,Corrugated iron
Lamna,sort
Langala,look
Lapiili,Afternoon
Lappa,Take an oath
Latanaani,Leave one another
Latila,Throw
Latta,leave
lawa,out
lawaanganja,divide
lbaani,Chewing-Gum
lbawa,Feather
lbolo,Penis
Leelo,today
Leete,bring
Leetiri,Litre
Lekeza,adjust
Lfuungulo,key
Liimbo,Song
Liini,When
Liini?,when?
Liinsoole,Bed sheet
Lila,TRUE
Lillaahi,frankly/honestly
Lima,Plough
Limi,Tongue
Linganya,Match
Liwala,forget
Liwaza,Console
Lkaambala,Rope
Lkaandha,Belt
Lkoombe,Spoon
lkope,eyebrow
Lkutta,Wall
Lmilo,Throat
Lohooho,thin baked pancake
Loogaani,Valley
Lpaanga,Sword
Lpeelo,Broom
Lpiindho la Tawala,Coast
Ltaambi,wick
Ltaki,Chain (Jewllery)
Lufa,Crack
Luflufu,Scraps
Lukha,language
Luqa la Yahuudi,Hebrew
Luti la kuduguwila,Crutch
Luulu,Pearl
Luzi,String/Thread
Lvuundho,Bad smell
Lwarakha,Paper
Lwatto,Fenugreek
Lwawo,Wood
Ma Dhereri/ Idhereri,Saliva
Ma'aduumu,curious
Ma'quuli,reasonable
Ma'ruufu,Familiar/Common
